,sample,COSMIC_1,COSMIC_2,COSMIC_3,COSMIC_4,COSMIC_5,COSMIC_6,COSMIC_7,COSMIC_8,COSMIC_9,COSMIC_10,COSMIC_11,COSMIC_12,COSMIC_13,COSMIC_14,COSMIC_15,COSMIC_16,COSMIC_17,COSMIC_18,COSMIC_19,COSMIC_20,COSMIC_21,COSMIC_22,COSMIC_23,COSMIC_24,COSMIC_25,COSMIC_26,COSMIC_27,COSMIC_28,COSMIC_29,COSMIC_30
1,final_CRUK0016_BS_GLfiltered,772.113514,0,977.944809,0,0,615.774835,0,0,0,0,0,1226.26429,0,0,0,0,0,0,0,217.333684,0,0,0,0,0,0,0,0,0,0
2,final_CRUK0017_BS_GLfiltered,818.783597,0,999.180925,0,0,501.852064,0,0,0,0,271.524335,1069.101203,0,0,0,0,0,0,0,220.899492,0,0,0,0,0,0,0,0,0,0
3,final_CRUK0017_SU_T1-R1filtered,5253.980048,0,1940.41131,0,4308.017435,0,0,0,0,0,0,4342.266762,0,0,0,0,0,0,0,1717.309121,0,0,0,0,0,0,0,0,0,0
4,final_CRUK0017_SU_T1-R2filtered,1186.765216,0,1393.855023,0,0,405.851306,0,0,0,0,0,1135.249198,0,0,0,285.412103,0,0,0,381.243234,0,0,0,0,0,0,0,0,0,0
5,final_CRUK0017_SU_T1-R3filtered,3251.000032,0,2820.419332,0,0,597.52815,0,0,0,0,0,2605.855881,0,0,0,0,0,0,0,1182.513332,0,0,0,0,0,0,0,0,0,0
6,final_CRUK0017_SU_T1-R4filtered,2578.658874,0,2325.097395,0,1108.779279,778.726658,0,0,0,0,619.135873,2494.243879,0,0,0,0,0,0,0,779.581392,0,0,0,0,0,0,0,0,0,0
7,final_CRUK0018_BS_GLfiltered,346.33836,0,321.982352,0,0,0,0,0,162.595028,0,103.807105,319.878864,0,0,0,128.625664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,final_CRUK0018_SU_T1-R1filtered,1070.51966,0,1421.003841,0,0,399.148624,0,0,0,0,298.223086,1207.911304,0,0,0,0,0,0,0,419.949539,0,0,0,0,0,0,0,0,0,0
9,final_CRUK0018_SU_T1-R2filtered,2455.824167,0,1084.950782,0,1419.319085,0,0,0,0,0,471.445516,2033.155758,0,0,0,0,0,0,0,883.459807,0,0,0,0,0,0,0,0,0,0
10,final_CRUK0018_SU_T1-R3filtered,986.111467,0,1361.081022,0,0,281.945316,0,0,0,0,270.132856,1132.832017,0,0,0,0,0,0,0,394.298804,0,0,0,0,0,0,0,0,0,0
11,final_CRUK0018_SU_T1-R4filtered,1076.989145,0,1282.878312,0,0,254.079467,0,0,0,0,0,1156.404924,0,0,0,0,0,0,0,374.115463,0,0,0,0,0,0,0,0,0,0
12,final_CRUK0019_BS_GL.bamfiltered,825.425466,0,329.27082,0,708.024531,183.166062,0,0,0,0,207.264581,753.63093,0,0,0,0,0,0,0,346.43562,0,0,0,0,0,0,0,0,0,0
13,final_CRUK0019_SU_T1-R1.bamfiltered,1688.834505,0,705.177696,0,798.73292,516.570042,0,0,0,0,0,1774.751281,0,0,0,0,0,0,0,625.993231,0,0,0,0,0,0,0,0,0,0
14,final_CRUK0019_SU_T1-R2.bamfiltered,4002.104555,0,0,0,3289.419888,0,0,0,0,0,0,2941.044131,0,0,0,0,0,0,0,1310.905686,0,0,0,0,0,0,0,0,0,0
15,final_CRUK0035_BS_GLfiltered,1480.164955,0,1389.796517,0,0,0,0,0,0,0,0,1784.309327,0,0,0,0,0,0,0,583.043937,0,0,0,0,0,0,0,0,0,0
16,final_CRUK0035_SU_T1-R2filtered,2370.063155,0,2117.604361,0,0,705.397914,0,0,0,0,562.434196,2809.995824,0,0,0,0,0,0,0,992.773242,0,0,0,0,0,0,0,0,0,0
17,final_CRUK0035_SU_T1-R3filtered,622.231768,0,539.186341,0,390.979086,0,0,0,0,0,0,400.776402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.633462
18,final_CRUK0036_BS_GLfiltered,669.26037,0,632.915979,0,0,0,0,0,0,0,0,653.392864,0,0,0,0,0,0,0,283.91617,0,0,0,0,0,0,0,0,0,0
19,final_CRUK0036_SU_T1-R1filtered,799.370293,0,666.951786,0,0,0,0,0,0,0,149.948841,676.843121,0,0,0,0,0,0,178.205997,277.458723,0,0,0,0,0,0,0,0,0,0
20,final_CRUK0036_SU_T1-R2filtered,2019.11396,0,1220.55842,0,701.818491,0,0,0,0,0,461.490465,1809.49274,0,0,0,0,0,0,0,770.155723,0,0,0,0,0,0,0,0,0,0
21,final_CRUK0036_SU_T1-R3filtered,1724.188746,0,777.767296,0,610.596797,0,0,0,0,0,325.683973,1444.342893,0,0,0,0,0,0,0,640.499749,0,0,0,0,0,0,0,0,0,0
22,final_CRUK0036_SU_T1-R4filtered,790.376269,0,448.282744,0,539.853217,0,0,0,0,0,203.191941,595.254706,0,0,0,0,0,0,0,294.822376,0,0,0,0,0,0,0,0,0,0
23,final_CRUK0037_BS_GL.bamfiltered,875.349883,0,708.806681,0,0,0,0,0,0,0,189.908947,920.91178,0,0,0,0,0,0,0,296.926003,0,0,0,0,0,0,0,0,0,0
24,final_CRUK0037_SU_T1-R1filtered,3104.893134,0,1950.620798,0,601.370551,0,0,0,0,0,0,2647.484939,0,0,0,0,0,0,0,1450.649186,0,0,0,0,0,0,0,0,0,0
25,final_CRUK0037_SU_T1-R2filtered,2166.816798,0,1955.898483,0,0,880.182728,0,0,0,0,0,2328.695866,0,0,0,0,0,0,0,830.862417,0,0,0,0,0,0,0,0,0,0
26,final_CRUK0037_SU_T1-R3.bamfiltered,1880.740069,0,1605.168634,0,0,458.600077,0,0,0,0,374.656823,1712.089639,0,0,0,0,0,0,0,858.776484,0,0,0,0,0,0,0,0,0,0
27,final_CRUK0037_SU_T1-R4.bamfiltered,2253.369792,0,1785.076929,0,0,535.597746,0,0,0,0,515.107346,2105.413432,0,0,0,0,0,0,0,788.428468,0,0,0,0,0,0,0,0,0,0
28,final_CRUK0037_SU_T1-R5.bamfiltered,2080.537801,0,1639.607627,0,0,548.298107,0,0,0,0,0,1905.545314,0,0,0,0,0,0,0,965.01695,0,0,0,0,0,0,0,0,0,0
29,final_CRUK0038_BS_GL.bamfiltered,986.32084,0,1028.923728,0,0,524.995503,0,0,0,0,252.432382,1276.075545,0,0,0,0,0,0,0,274.665974,0,0,0,0,0,0,0,0,0,0
30,final_CRUK0038_SU_T1-R1.bamfiltered,802.265685,0,784.799175,0,0,393.559961,0,0,0,0,283.061013,897.712264,0,0,0,192.141042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,final_CRUK0038_SU_T1-R2.bamfiltered,662.411131,0,919.461728,0,0,349.880688,0,0,0,0,209.648017,947.274372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,final_CRUK0056_BS_GLfiltered,1886.797453,0,1412.773367,0,0,473.288969,0,0,0,0,0,1721.455748,0,0,0,0,0,0,0,710.262934,0,0,0,0,0,0,0,0,0,0
33,final_CRUK0056_SU_T1-R3filtered,2031.41047,0,1783.853825,0,0,425.783268,0,0,0,0,406.685794,2001.452136,0,0,0,0,0,0,0,858.719563,0,0,0,0,0,0,0,0,0,0
34,final_CRUK0057_BS_GLfiltered,671.482163,0,694.052673,0,0,0,0,0,0,0,0,808.043271,0,0,0,0,0,0,0,212.615329,0,0,0,0,0,0,0,0,0,0
35,final_CRUK0057_SU_T1-R1filtered,958.815546,0,1299.180378,538.310199,0,0,0,0,331.121563,0,0,893.321661,0,0,0,0,0,0,0,526.401205,0,0,0,0,0,0,0,0,0,0
36,final_CRUK0057_SU_T1-R2filtered,1476.724298,0,2111.71913,419.602213,0,0,0,0,0,0,0,1479.216973,0,0,0,0,0,0,0,674.927821,0,0,0,0,0,0,0,0,0,0
37,final_CRUK0058_BS_GLfiltered,700.339032,0,699.795803,0,0,0,0,0,0,0,205.544279,708.934174,0,0,0,0,0,0,0,203.312672,0,0,0,0,0,0,0,0,0,0
