sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60
final_CRUK0016_BS_GLfiltered,277.286464,0,0,0,0,691.40261,0,320.527453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719.750359,0,0,0,0,0,0,525.829722,0,0,0,0,0,0,0,532.984328,0,0,0,0,0,0
final_CRUK0017_BS_GLfiltered,293.316707,0,0,0,384.685276,567.795414,0,214.776081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.371406,0,0,0,0,0,0,0,579.904945,0,0,0,215.370524,0,0,364.450682,0,0,0,0,0,0,0,515.437673,0,0,0,0,0,0
final_CRUK0017_SU_T1-R1filtered,2113.820718,0,0,0,5705.304655,1265.350135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970.232605,0,0,0,0,0,0,1649.597647,0,0,0,0,0,0,0,2216.903807,0,0,0,0,0,0
final_CRUK0017_SU_T1-R2filtered,441.838518,0,0,481.819407,713.350611,568.173028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.633387,0,0,0,0,0,0,0,683.362452,0,0,0,0,0,0,511.270603,0,0,0,0,0,0,0,558.862756,0,0,0,0,0,0
final_CRUK0017_SU_T1-R3filtered,1260.210415,0,0,643.022849,1565.865965,1122.293695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.925128,0,0,0,0,0,0,0,1651.218714,0,0,0,0,0,0,1198.231527,0,0,0,0,0,0,0,1415.382313,0,0,0,0,0,0
final_CRUK0017_SU_T1-R4filtered,1024.643281,0,0,593.047468,1531.489082,1086.102538,0,603.630798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415.859454,0,0,0,0,0,0,1122.207094,0,0,0,0,0,0,0,1254.637298,0,0,0,0,0,0
final_CRUK0018_BS_GLfiltered,129.040499,0,0,0,458.999071,0,0,0,0,0,0,95.852513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.515862,0,0,0,109.738366,0,0,0,0,0,0,0,0,0,0,102.653061,0,0,0,0,0,0
final_CRUK0018_SU_T1-R1filtered,435.369688,0,0,0,888.754496,487.387592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.811321,0,0,0,0,0,0,290.731596,0,0,0,0,0,0,0,628.254791,0,0,0,0,0,0
final_CRUK0018_SU_T1-R2filtered,954.481448,0,0,0,2213.810122,609.142594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.767051,0,0,0,0,0,0,0,910.305272,0,0,0,0,0,0,674.521951,0,0,0,0,0,0,0,1047.295175,0,0,0,0,0,0
final_CRUK0018_SU_T1-R3filtered,371.149799,0,0,0,746.78511,421.318502,0,276.755564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.306158,0,0,0,246.633574,0,0,409.05364,0,0,0,0,0,0,0,458.182578,0,0,0,0,0,0
final_CRUK0018_SU_T1-R4filtered,415.948308,0,0,320.426944,0,442.246076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.869481,0,0,0,0,0,0,0,609.140963,0,0,0,0,0,0,440.503274,0,0,0,0,0,0,0,510.294685,0,0,0,0,0,0
final_CRUK0019_BS_GL.bamfiltered,293.06008,0,0,0,694.022445,376.891578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.630799,0,0,0,0,0,0,335.715909,0,0,0,0,0,0,303.856198,0,0,0,0,0,0,0,518.195334,0,0,0,0,0,0
final_CRUK0019_SU_T1-R1.bamfiltered,677.132323,0,0,0,1011.62375,684.688778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.291202,0,0,0,0,0,0,697.106494,0,0,0,0,0,0,0,1080.725288,0,0,0,0,0,0
final_CRUK0019_SU_T1-R2.bamfiltered,1714.164823,0,0,0,4054.748943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051.839758,0,0,0,0,0,0,1139.634432,0,0,0,0,0,0,0,1663.781747,0,0,0,0,0,0
final_CRUK0035_BS_GLfiltered,549.371272,0,0,0,777.352912,560.98366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.726111,0,0,0,0,0,0,0,846.172126,0,0,0,358.190615,0,0,755.415808,0,0,0,0,0,0,0,818.042111,0,0,0,0,0,0
final_CRUK0035_SU_T1-R2filtered,860.492697,0,0,0,714.874054,1196.747775,0,579.256934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496.117309,0,0,0,548.943196,0,0,1017.908986,0,0,0,0,0,0,0,1486.789885,0,0,0,0,0,0
final_CRUK0035_SU_T1-R3filtered,288.215553,0,0,0,884.843945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.858093,0,0,0,121.411572,0,0,240.253436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
final_CRUK0037_BS_GL.bamfiltered,334.785493,0,0,0,177.337208,323.443145,0,218.803004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.806854,0,0,0,0,0,0,321.638982,0,0,0,0,0,0,0,465.181181,0,0,0,0,0,0
