sample,error
final_CRUK0016_BS_GLfiltered,214.419
final_CRUK0017_BS_GLfiltered,135.939
final_CRUK0017_SU_T1-R1filtered,758.358
final_CRUK0017_SU_T1-R2filtered,227.618
final_CRUK0017_SU_T1-R3filtered,455.657
final_CRUK0017_SU_T1-R4filtered,409.66
final_CRUK0018_BS_GLfiltered,85.91
final_CRUK0018_SU_T1-R1filtered,336.025
final_CRUK0018_SU_T1-R2filtered,322.252
final_CRUK0018_SU_T1-R3filtered,199.631
final_CRUK0018_SU_T1-R4filtered,263.817
final_CRUK0019_BS_GL.bamfiltered,163.529
final_CRUK0019_SU_T1-R1.bamfiltered,320.721
final_CRUK0019_SU_T1-R2.bamfiltered,597.384
final_CRUK0035_BS_GLfiltered,244.649
final_CRUK0035_SU_T1-R2filtered,347.555
final_CRUK0035_SU_T1-R3filtered,104.166
final_CRUK0037_BS_GL.bamfiltered,151.882
final_CRUK0037_SU_T1-R1filtered,440.638
final_CRUK0037_SU_T1-R2filtered,381.879
final_CRUK0037_SU_T1-R3.bamfiltered,329.368
final_CRUK0037_SU_T1-R4.bamfiltered,327.927
final_CRUK0037_SU_T1-R5.bamfiltered,308.685
final_CRUK0038_BS_GL.bamfiltered,189.959
final_CRUK0038_SU_T1-R1.bamfiltered,169.439
final_CRUK0038_SU_T1-R2.bamfiltered,184.506
final_CRUK0056_BS_GLfiltered,297.46
final_CRUK0056_SU_T1-R3filtered,420.492
final_CRUK0057_BS_GLfiltered,112.673
final_CRUK0057_SU_T1-R1filtered,266.402
final_CRUK0057_SU_T1-R2filtered,279.839
final_CRUK0058_BS_GLfiltered,141.476
final_CRUK0058_SU_T1-R1filtered,269.829
final_CRUK0058_SU_T1-R2filtered,460.86
final_CRUK0059_SU_T1-R1filtered,64.875
final_CRUK0059_SU_T1-R2filtered,50.323
final_CRUK0065_BS_GLfiltered,97.69
final_CRUK0065_SU_T1-R1filtered,654.525
final_CRUK0065_SU_T1-R2filtered,585.725
final_CRUK0065_SU_T1-R3filtered,339.544
final_CRUK0065_SU_T1-R4filtered,452.508
final_CRUK0065_SU_T1-R5filtered,491.5
final_CRUK0065_SU_T1-R6filtered,571.066
final_CRUK0065_SU_T1-R7filtered,156.148
final_CRUK0066_SU_T1-R1filtered,477.764
final_CRUK0066_SU_T1-R2filtered,295.749
final_CRUK0080_BS_GLfiltered,263.936
final_CRUK0081_BS_GLfiltered,87.598
final_CRUK0081_SU_T1-R1filtered,108.742
final_CRUK0081_SU_T1-R5filtered,122.047
final_CRUK0081_SU_T1-R6filtered,154.611
final_CRUK0082_BS_GL.bamfiltered,230.118
final_CRUK0082_SU_T1-R1filtered,380.613
final_CRUK0082_SU_T1-R2filtered,347.12
final_CRUK0082_SU_T1-R3filtered,188.719
final_CRUK0082_SU_T1-R4filtered,385.341
final_CRUK0082_SU_T1-R5filtered,155.045
final_CRUK0099_BS_GLfiltered,212.176
final_CRUK0099_SU_T1-R4filtered,105.114
final_CRUK0099_SU_T1-R5filtered,152.496
final_CRUK0099_SU_T1-R6filtered,174.331
final_CRUK0099_SU_T1-R7filtered,108.969
final_CRUK0100_BS_GLfiltered,253.748
final_CRUK0100_SU_T1-R1filtered,644.907
final_CRUK0100_SU_T1-R2filtered,640.776
final_CRUK0100_SU_T1-R3filtered,451.355
