sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60
final_CRUK0016_BS_GLfiltered,0.0903866572564163,0,0,0,0,0.225375482938329,0,0.104481858283508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234615956619922,0,0,0,0,0,0,0.171403934299695,0,0,0,0,0,0,0,0.173736110602129,0,0,0,0,0,0
final_CRUK0017_BS_GLfiltered,0.0858125741622844,0,0,0,0.112543312358572,0.1661139134256,0,0.0628347719009995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826104229333364,0,0,0,0,0,0,0,0.169656671141777,0,0,0,0.0630086818175006,0,0,0.106623490688582,0,0,0,0,0,0,0,0.150796161571348,0,0,0,0,0,0
final_CRUK0017_SU_T1-R1filtered,0.141665506975719,0,0,0,0.382362075231351,0.0848021153592313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132042418957602,0,0,0,0,0,0,0.110553882350683,0,0,0,0,0,0,0,0.148574001125414,0,0,0,0,0,0
final_CRUK0017_SU_T1-R2filtered,0.102175477739174,0,0,0.111421087317313,0.164962846164662,0.131390424803147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845529859262229,0,0,0,0,0,0,0,0.158028062646438,0,0,0,0,0,0,0.118231697752346,0,0,0,0,0,0,0,0.129237417650698,0,0,0,0,0,0
final_CRUK0017_SU_T1-R3filtered,0.132903437981947,0,0,0.0678140303522616,0.165138271903124,0.118358560376572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660108823418112,0,0,0,0,0,0,0,0.174139684403996,0,0,0,0,0,0,0.126367063421435,0,0,0,0,0,0,0,0.149268069218853,0,0,0,0,0,0
final_CRUK0017_SU_T1-R4filtered,0.118708149290775,0,0,0.068706415855432,0.17742783069423,0.125828397664566,0,0.0699325279482254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164031774332386,0,0,0,0,0,0,0.130011224120562,0,0,0,0,0,0,0,0.145353680093823,0,0,0,0,0,0
final_CRUK0018_BS_GLfiltered,0.131835494271241,0,0,0,0.468940912847255,0,0,0,0,0,0,0.0979286621364935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843031415430863,0,0,0,0.112115280351855,0,0,0,0,0,0,0,0,0,0,0.104876508850069,0,0,0,0,0,0
final_CRUK0018_SU_T1-R1filtered,0.129408334777325,0,0,0,0.264171444460369,0.144870022903042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188392692174808,0,0,0,0,0,0,0.0864164243458168,0,0,0,0,0,0,0,0.186741081338639,0,0,0,0,0,0
final_CRUK0018_SU_T1-R2filtered,0.138968619095555,0,0,0,0.322321755167421,0.0886886856709907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667946178499321,0,0,0,0,0,0,0,0.132536747435287,0,0,0,0,0,0,0.0982076542991219,0,0,0,0,0,0,0,0.152481920481693,0,0,0,0,0,0
final_CRUK0018_SU_T1-R3filtered,0.107886583742297,0,0,0,0.217077025299737,0.122469725083165,0,0.0804478741793219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148336839188957,0,0,0,0.0716919524318885,0,0,0.118904549876777,0,0,0,0,0,0,0,0.133185450197855,0,0,0,0,0,0
final_CRUK0018_SU_T1-R4filtered,0.139372793294291,0,0,0.107366221650873,0,0.148184449245456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823840743999075,0,0,0,0,0,0,0,0.204106317757361,0,0,0,0,0,0,0.147600484415627,0,0,0,0,0,0,0,0.170985659236485,0,0,0,0,0,0
final_CRUK0019_BS_GL.bamfiltered,0.108365285112665,0,0,0,0.256629767271659,0.139363789522381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675316767946994,0,0,0,0,0,0,0.124138197859096,0,0,0,0,0,0,0.112357382586944,0,0,0,0,0,0,0,0.191613900852557,0,0,0,0,0,0
final_CRUK0019_SU_T1-R1.bamfiltered,0.140176547795028,0,0,0,0.20942129053033,0.141740847326285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140623468131051,0,0,0,0,0,0,0.144311500803094,0,0,0,0,0,0,0,0.223726345414214,0,0,0,0,0,0
