sample,Sig1,Sig2,Sig3,Sig4,Sig5
final_CRUK0016_BS_GLfiltered,787.288745285044,1833.45681208711,552.31258340373,833.502388172736,248.443859973331
final_CRUK0017_BS_GLfiltered,960.229388272808,1616.14689375632,490.862786018075,419.253656603047,470.510125910255
final_CRUK0017_SU_T1-R1filtered,9047.68727519109,3268.04895095816,3091.42143961967,1778.13058107322,2123.71245333112
final_CRUK0017_SU_T1-R2filtered,1198.89200699847,1477.12413660008,1187.86105031453,275.189285616856,1535.91566895205
final_CRUK0017_SU_T1-R3filtered,3171.61426963607,3534.84692082844,2743.92468836647,313.494198629734,1830.12296097164
final_CRUK0017_SU_T1-R4filtered,3513.52557095388,2554.85370475017,2489.82121444237,821.072305078921,1814.71751537164
final_CRUK0018_BS_GLfiltered,352.44957435227,144.127409698949,64.5521271415242,744.223534219828,195.637285511814
final_CRUK0018_SU_T1-R1filtered,871.666073630127,801.341549011005,1604.02817923561,1917.26136758313,482.683998347037
final_CRUK0018_SU_T1-R2filtered,3257.60281969347,1374.5959412586,1884.94202160474,1848.80027588267,330.05858764923
final_CRUK0018_SU_T1-R3filtered,321.55172702793,927.877704738466,1164.8385205158,1690.78652337221,703.922319599563
final_CRUK0018_SU_T1-R4filtered,418.712195941677,853.617111588214,1318.23754790555,1638.09747544769,525.317120557685
final_CRUK0019_BS_GL.bamfiltered,1311.18105028378,1335.4046713512,0.0283311555563383,261.146037409667,553.240610869921
final_CRUK0019_SU_T1-R1.bamfiltered,2656.92952473885,2263.68158826462,605.520138938337,381.43273642042,697.446218153771
final_CRUK0019_SU_T1-R2.bamfiltered,7319.1655621534,2121.19956207149,1962.68380964223,821.507669871165,644.469226745847
final_CRUK0035_BS_GLfiltered,1220.06899779831,2076.7805677774,1081.74485396653,1451.2797675953,204.129045772438
final_CRUK0035_SU_T1-R2filtered,2379.34503419367,3554.23301159101,1750.80334061008,1556.06753203361,538.563734736476
final_CRUK0035_SU_T1-R3filtered,576.570119247957,431.937286121225,0.10108433461952,697.78881819117,579.587691727828
final_CRUK0037_BS_GL.bamfiltered,965.627311492069,1359.415080296,445.454370112503,180.714345363716,381.794204454689
final_CRUK0037_SU_T1-R1filtered,4076.10125762895,3452.08766677002,2554.31249808734,220.501055135802,708.028804193112
final_CRUK0037_SU_T1-R2filtered,2306.55500788182,3289.45200214475,2311.07336661497,519.417605052177,528.525378460574
final_CRUK0037_SU_T1-R3.bamfiltered,1845.09432401073,2379.83144557318,2036.72650689368,368.541484775456,468.822785071034
final_CRUK0037_SU_T1-R4.bamfiltered,2640.25756926727,2810.87751663359,1867.5232689071,390.829896495757,542.532565108434
final_CRUK0037_SU_T1-R5.bamfiltered,2455.0700000919,2858.2410281335,1608.4110607484,344.691067499105,679.60424887263
final_CRUK0038_BS_GL.bamfiltered,1302.04788432161,1782.07547396805,615.284169766825,372.54320415055,459.055829229288
final_CRUK0038_SU_T1-R1.bamfiltered,1351.92241994751,1295.82223394118,158.841297091749,350.199972407182,662.211540421765
final_CRUK0038_SU_T1-R2.bamfiltered,1011.8828453764,1268.73574244878,87.9488212527226,250.913651902595,788.513057590755
final_CRUK0056_BS_GLfiltered,1916.09246709758,2814.7485114738,1244.45433991025,391.403177921527,377.321888937352
final_CRUK0056_SU_T1-R3filtered,2029.59012706966,2980.88712306405,1309.49136836566,625.829040339395,991.208402006108
final_CRUK0057_BS_GLfiltered,1.66027620322333,729.370840201874,398.675637791423,1617.2819326482,1.70117622938231e-08
final_CRUK0057_SU_T1-R1filtered,3.91661423798547e-09,5.41222512621885,2307.95332290005,1340.81904526168,1321.77620012661
