Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
016_BS_GL	4255	0.965	1108.851	26.06%	167.353	27.04%	0.0917	0.932
017_BS_GL	3957	0.969	1030.665	26.047%	143.931	25.237%	0.07667	0.941
017_SU_T1-R1	19309	0.97	4552.878	23.579%	691.611	25.452%	0.05192	0.94
017_SU_T1-R2	5675	0.967	1465.395	25.822%	200.497	26.469%	0.0689	0.928
017_SU_T1-R3	11594	0.978	2678.291	23.101%	366.394	22.291%	0.05759	0.959
017_SU_T1-R4	11194	0.983	2180.187	19.476%	295.087	19.173%	0.04092	0.963
018_BS_GL	1501	0.96	429.117	28.589%	56.663	28.253%	0.07994	0.901
018_SU_T1-R1	5677	0.956	1628.897	28.693%	239.315	31.803%	0.09189	0.911
018_SU_T1-R2	8696	0.963	2222.771	25.561%	345.036	28.146%	0.06574	0.927
018_SU_T1-R3	4809	0.965	1285.72	26.736%	177.678	27.866%	0.09022	0.923
018_SU_T1-R4	4754	0.952	1407.405	29.605%	204.487	32.174%	0.0964	0.895
019_BS_GL	3461	0.963	977.605	28.246%	139.384	27.335%	0.07426	0.928
019_SU_T1-R1	6605	0.978	1504.916	22.784%	207.209	21.127%	0.05065	0.96
019_SU_T1-R2	12869	0.973	2977.579	23.138%	446.902	23.558%	0.04812	0.949
035_BS_GL	6034	0.97	1476.259	24.466%	218.075	25.382%	0.08732	0.941
035_SU_T1-R2	9779	0.98	1931.228	19.749%	287.268	20.517%	0.05075	0.961
035_SU_T1-R3	2286	0.961	632.099	27.651%	86.067	27.837%	0.07282	0.911
037_BS_GL	3333	0.979	761.691	22.853%	101.166	21.225%	0.05293	0.959
037_SU_T1-R1	11011	0.984	2130.667	19.35%	290.305	18.033%	0.03887	0.97
037_SU_T1-R2	8955	0.978	1998.683	22.319%	277.218	21.189%	0.04965	0.958
037_SU_T1-R3	7099	0.974	1798.295	25.332%	243.15	23.562%	0.06883	0.952
037_SU_T1-R4	8252	0.977	1965.35	23.817%	264.804	22.134%	0.05965	0.958
037_SU_T1-R5	7946	0.982	1656.657	20.849%	222.098	19.066%	0.04564	0.966
038_BS_GL	4531	0.976	995.081	21.962%	145.5	22.201%	0.05397	0.952
038_SU_T1-R1	3819	0.982	751.204	19.67%	102.911	19.23%	0.04173	0.963
038_SU_T1-R2	3408	0.971	833.415	24.455%	114.907	24.071%	0.05602	0.94
056_BS_GL	6744	0.978	1635.911	24.257%	218.258	21.826%	0.07099	0.96
056_SU_T1-R3	7937	0.975	1884.882	23.748%	260.658	23.164%	0.06284	0.953
