Samples	SBS96A	SBS96B	SBS96C
016_BS_GLfiltered	2.02E+01	3.65E+01	3.02E+01
017_BS_GLfiltered	2.14E+01	3.64E+01	2.72E+01
017_SU_T1-R1filtered	1.91E+02	1.63E+02	6.63E+01
017_SU_T1-R2filtered	3.08E+01	2.94E+01	3.72E+01
017_SU_T1-R3filtered	4.87E+01	8.14E+01	6.91E+01
017_SU_T1-R4filtered	4.94E+01	5.91E+01	4.70E+01
018_BS_GLfiltered	1.44E+01	1.35E+01	1.89E+01
018_SU_T1-R1filtered	2.82E+01	3.33E+01	3.97E+01
018_SU_T1-R2filtered	6.80E+01	5.83E+01	3.45E+01
018_SU_T1-R3filtered	3.15E+01	3.75E+01	3.61E+01
018_SU_T1-R4filtered	2.81E+01	3.33E+01	3.49E+01
019_BS_GL	3.10E+01	3.90E+01	1.61E+01
019_SU_T1-R1	5.67E+01	7.71E+01	3.22E+01
019_SU_T1-R2	1.79E+02	1.61E+02	5.25E+01
035_BS_GLfiltered	2.59E+01	4.19E+01	3.58E+01
035_SU_T1-R2filtered	4.15E+01	7.68E+01	5.80E+01
035_SU_T1-R3filtered	1.69E+01	1.50E+01	2.05E+01
037_BS_GL	2.02E+01	3.57E+01	2.38E+01
037_SU_T1-R1filtered	7.04E+01	1.22E+02	6.90E+01
037_SU_T1-R2filtered	4.15E+01	8.51E+01	7.44E+01
037_SU_T1-R3	3.59E+01	6.44E+01	5.55E+01
037_SU_T1-R4	4.42E+01	8.30E+01	5.32E+01
037_SU_T1-R5	4.42E+01	8.26E+01	5.56E+01
038_BS_GL	2.59E+01	4.65E+01	3.09E+01
038_SU_T1-R1	2.85E+01	3.37E+01	1.49E+01
038_SU_T1-R2	2.20E+01	2.71E+01	1.59E+01
056_BS_GLfiltered	3.98E+01	7.78E+01	5.69E+01
056_SU_T1-R3filtered	3.65E+01	6.54E+01	5.47E+01
057_BS_GLfiltered	1.70E+01	2.03E+01	2.16E+01
057_SU_T1-R1filtered	6.12E+01	7.81E+01	6.34E+01
057_SU_T1-R2filtered	6.88E+01	7.69E+01	6.26E+01
058_BS_GLfiltered	1.38E+01	1.83E+01	1.42E+01
058_SU_T1-R1filtered	7.11E+01	8.55E+01	3.04E+01
058_SU_T1-R2filtered	1.02E+02	1.20E+02	3.73E+01
059_SU_T1-R1filtered	1.56E+01	1.70E+01	9.33E+00
059_SU_T1-R2filtered	1.69E+01	1.58E+01	8.66E+00
065_BS_GLfiltered	1.29E+01	1.16E+01	1.32E+01
065_SU_T1-R1filtered	2.52E+02	1.67E+02	1.18E+02
065_SU_T1-R2filtered	2.23E+02	1.46E+02	1.06E+02
065_SU_T1-R3filtered	9.11E+01	5.37E+01	5.47E+01
065_SU_T1-R4filtered	1.16E+02	7.43E+01	6.44E+01
065_SU_T1-R5filtered	1.65E+02	1.02E+02	8.91E+01
065_SU_T1-R6filtered	2.24E+02	1.37E+02	1.17E+02
065_SU_T1-R7filtered	2.36E+01	1.66E+01	2.43E+01
066_SU_T1-R1filtered	4.69E+01	6.66E+01	3.30E+01
066_SU_T1-R2filtered	3.64E+01	4.81E+01	2.53E+01
080_BS_GLfiltered	4.12E+01	6.63E+01	3.70E+01
081_BS_GLfiltered	1.91E+01	2.02E+01	1.08E+01
081_SU_T1-R1filtered	1.55E+01	1.77E+01	1.45E+01
081_SU_T1-R5filtered	2.58E+01	2.01E+01	2.48E+01
081_SU_T1-R6filtered	2.13E+01	2.36E+01	1.52E+01
082_BS_GL	3.28E+01	2.59E+01	2.28E+01
082_SU_T1-R1filtered	8.45E+01	9.22E+01	3.34E+01
082_SU_T1-R2filtered	6.89E+01	6.22E+01	2.65E+01
082_SU_T1-R3filtered	1.71E+01	1.76E+01	1.94E+01
082_SU_T1-R4filtered	9.72E+01	7.85E+01	3.40E+01
082_SU_T1-R5filtered	1.65E+01	1.79E+01	2.00E+01
099_BS_GLfiltered	2.69E+01	5.35E+01	3.91E+01
099_SU_T1-R4filtered	1.81E+01	1.46E+01	1.43E+01
099_SU_T1-R5filtered	2.00E+01	3.71E+01	2.60E+01
099_SU_T1-R6filtered	1.58E+01	2.02E+01	1.70E+01
099_SU_T1-R7filtered	1.61E+01	1.77E+01	1.57E+01
100_BS_GLfiltered	3.51E+01	7.00E+01	5.62E+01
100_SU_T1-R1filtered	1.29E+02	1.57E+02	5.66E+01
100_SU_T1-R2filtered	1.39E+02	1.67E+02	5.69E+01
100_SU_T1-R3filtered	6.79E+01	8.16E+01	3.34E+01
