Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
016_BS_GLfiltered	4255	0.989	655.002	15.394%	91.651	14.809%	0.02157	0.979
017_BS_GLfiltered	3957	0.994	455.597	11.514%	62.496	10.958%	0.01195	0.988
017_SU_T1-R1filtered	19309	0.999	929.161	4.812%	123.293	4.537%	0.0025	0.998
017_SU_T1-R2filtered	5675	0.993	651.876	11.487%	87.009	11.487%	0.01326	0.984
017_SU_T1-R3filtered	11594	0.996	1044.214	9.007%	140.97	8.576%	0.00738	0.992
017_SU_T1-R4filtered	11194	0.997	893.691	7.984%	122.231	7.942%	0.00599	0.993
018_BS_GLfiltered	1501	0.976	336.777	22.437%	43.467	21.673%	0.05169	0.942
018_SU_T1-R1filtered	5677	0.994	593.846	10.461%	82.592	10.976%	0.01196	0.985
018_SU_T1-R2filtered	8696	0.997	673.202	7.742%	92.955	7.583%	0.00791	0.994
018_SU_T1-R3filtered	4809	0.993	558.176	11.607%	73.055	11.457%	0.01405	0.984
018_SU_T1-R4filtered	4754	0.994	497.731	10.47%	68.053	10.708%	0.01183	0.986
019_BS_GL	3461	0.988	532.48	15.385%	77.375	15.174%	0.02364	0.978
019_SU_T1-R1	6605	0.994	772.028	11.689%	106.153	10.823%	0.01155	0.989
019_SU_T1-R2	12869	0.998	792.031	6.155%	108.357	5.712%	0.00421	0.997
035_BS_GLfiltered	6034	0.993	738.683	12.242%	105.471	12.276%	0.01381	0.985
035_SU_T1-R2filtered	9779	0.996	850.818	8.7%	125.031	8.93%	0.0064	0.992
035_SU_T1-R3filtered	2286	0.976	485.322	21.23%	67.088	21.699%	0.03989	0.944
037_BS_GL	3333	0.992	408.702	12.262%	58.831	12.343%	0.0142	0.984
037_SU_T1-R1filtered	11011	0.998	709.69	6.445%	102.007	6.337%	0.00415	0.996
037_SU_T1-R2filtered	8955	0.998	608.262	6.792%	80.417	6.147%	0.00421	0.996
037_SU_T1-R3	7099	0.997	587.526	8.276%	80.164	7.768%	0.00746	0.994
037_SU_T1-R4	8252	0.998	636.628	7.715%	84.318	7.048%	0.0056	0.995
037_SU_T1-R5	7946	0.998	598.465	7.532%	77.772	6.676%	0.00514	0.996
038_BS_GL	4531	0.994	512.433	11.309%	73.352	11.192%	0.01278	0.987
038_SU_T1-R1	3819	0.99	517.18	13.542%	75.431	14.095%	0.01797	0.979
038_SU_T1-R2	3408	0.986	535.622	15.717%	79.073	16.565%	0.02197	0.97
056_BS_GLfiltered	6744	0.998	491.376	7.286%	65.58	6.558%	0.00503	0.996
056_SU_T1-R3filtered	7937	0.997	621.562	7.831%	85.192	7.571%	0.00581	0.994
057_BS_GLfiltered	2747	0.969	664.166	24.178%	96.566	25.003%	0.05503	0.937
057_SU_T1-R1filtered	4976	0.988	633.216	12.725%	95.044	15.378%	0.01382	0.964
057_SU_T1-R2filtered	6816	0.995	656.888	9.637%	86.479	10.006%	0.00838	0.986
058_BS_GLfiltered	2731	0.985	412.32	15.098%	65.188	17.023%	0.02484	0.969
058_SU_T1-R1filtered	7299	0.997	591.167	8.099%	82.917	7.811%	0.00701	0.994
058_SU_T1-R2filtered	10071	0.998	693.568	6.887%	95.638	6.511%	0.00484	0.996
059_SU_T1-R1filtered	1851	0.985	320.244	17.301%	46.849	17.522%	0.02813	0.969
059_SU_T1-R2filtered	1658	0.985	290.524	17.523%	39.97	17.028%	0.02844	0.969
