Samples	SBS96A	SBS96B	SBS96C	SBS96D
016_BS_GLfiltered	1909	107	57	2182
017_BS_GLfiltered	1879	384	477	1217
017_SU_T1-R1filtered	7196	7881	2579	1653
017_SU_T1-R2filtered	2017	842	2538	278
017_SU_T1-R3filtered	6371	1857	3366	0
017_SU_T1-R4filtered	4572	2429	3536	657
018_BS_GLfiltered	0	529	148	824
018_SU_T1-R1filtered	1122	1051	1499	2005
018_SU_T1-R2filtered	2959	2934	916	1887
018_SU_T1-R3filtered	761	622	1558	1868
018_SU_T1-R4filtered	1105	551	1477	1621
019_BS_GL	1481	1044	0	936
019_SU_T1-R1	3602	1781	195	1027
019_SU_T1-R2	5831	6271	299	468
035_BS_GLfiltered	2323	643	294	2774
035_SU_T1-R2filtered	4635	1247	690	3207
035_SU_T1-R3filtered	0	804	452	1030
037_BS_GL	1741	582	545	465
037_SU_T1-R1filtered	6715	2366	1682	248
037_SU_T1-R2filtered	5761	671	1515	1008
037_SU_T1-R3	4412	722	1418	547
037_SU_T1-R4	4742	1524	1257	729
037_SU_T1-R5	4787	1302	1091	766
038_BS_GL	2395	597	521	1018
038_SU_T1-R1	1503	866	433	1017
038_SU_T1-R2	1230	641	633	904
056_BS_GLfiltered	4386	848	564	946
056_SU_T1-R3filtered	4143	1129	1446	1219
057_BS_GLfiltered	38	186	0	2523
057_SU_T1-R1filtered	526	459	3771	220
057_SU_T1-R2filtered	1065	742	3855	1154
058_BS_GLfiltered	1001	483	584	663
058_SU_T1-R1filtered	3611	2291	348	1049
058_SU_T1-R2filtered	5236	3447	339	1049
059_SU_T1-R1filtered	783	565	259	244
059_SU_T1-R2filtered	582	619	343	114
065_BS_GLfiltered	187	481	299	872
065_SU_T1-R1filtered	3386	8966	709	1849
065_SU_T1-R2filtered	3249	8081	675	2101
065_SU_T1-R3filtered	1661	3861	1454	1081
065_SU_T1-R4filtered	2239	4516	1711	1770
065_SU_T1-R5filtered	2377	6092	1522	1093
065_SU_T1-R6filtered	2575	8200	1120	1054
065_SU_T1-R7filtered	308	892	1006	431
066_SU_T1-R1filtered	3871	1900	1375	809
066_SU_T1-R2filtered	3210	1583	1570	219
080_BS_GLfiltered	3493	955	313	1537
081_BS_GLfiltered	611	751	244	822
081_SU_T1-R1filtered	892	642	497	975
081_SU_T1-R5filtered	645	1328	982	400
081_SU_T1-R6filtered	1263	795	488	1022
082_BS_GL	962	1337	944	817
082_SU_T1-R1filtered	4253	3395	1272	1705
082_SU_T1-R2filtered	2711	3184	1232	537
082_SU_T1-R3filtered	798	1118	1402	288
082_SU_T1-R4filtered	3108	3951	1167	260
082_SU_T1-R5filtered	410	688	1090	517
099_BS_GLfiltered	3077	424	388	817
099_SU_T1-R4filtered	366	735	536	630
099_SU_T1-R5filtered	2151	444	526	369
099_SU_T1-R6filtered	1183	516	1052	320
099_SU_T1-R7filtered	767	471	754	931
100_BS_GLfiltered	3740	530	765	1000
100_SU_T1-R1filtered	7469	5043	1398	981
100_SU_T1-R2filtered	7937	4711	878	1246
100_SU_T1-R3filtered	4292	2826	1315	608
