Samples	SBS96A	SBS96B	SBS96C	SBS96D
016_BS_GLfiltered	5.21E+01	3.68E+01	2.91E+01	5.25E+01
017_BS_GLfiltered	3.63E+01	3.09E+01	2.43E+01	4.13E+01
017_SU_T1-R1filtered	1.82E+02	1.64E+02	1.03E+02	1.29E+02
017_SU_T1-R2filtered	7.00E+01	4.93E+01	6.11E+01	5.94E+01
017_SU_T1-R3filtered	1.05E+02	1.10E+02	1.14E+02	1.07E+02
017_SU_T1-R4filtered	8.17E+01	8.04E+01	8.58E+01	7.65E+01
018_BS_GLfiltered	1.33E+01	2.40E+01	2.07E+01	2.32E+01
018_SU_T1-R1filtered	4.02E+01	4.31E+01	4.46E+01	5.14E+01
018_SU_T1-R2filtered	6.89E+01	5.39E+01	3.81E+01	6.05E+01
018_SU_T1-R3filtered	4.04E+01	4.06E+01	3.88E+01	4.47E+01
018_SU_T1-R4filtered	3.79E+01	3.83E+01	3.74E+01	4.34E+01
019_BS_GL	3.99E+01	3.57E+01	2.13E+01	4.82E+01
019_SU_T1-R1	6.54E+01	6.79E+01	4.29E+01	7.47E+01
019_SU_T1-R2	1.77E+02	1.64E+02	8.16E+01	1.16E+02
035_BS_GLfiltered	6.72E+01	4.97E+01	3.62E+01	6.66E+01
035_SU_T1-R2filtered	8.57E+01	7.10E+01	5.40E+01	9.07E+01
035_SU_T1-R3filtered	2.00E+01	2.48E+01	2.32E+01	2.24E+01
037_BS_GL	2.94E+01	3.19E+01	2.94E+01	3.96E+01
037_SU_T1-R1filtered	9.35E+01	1.26E+02	9.86E+01	1.01E+02
037_SU_T1-R2filtered	6.36E+01	8.54E+01	7.67E+01	9.05E+01
037_SU_T1-R3	4.75E+01	6.76E+01	6.64E+01	6.65E+01
037_SU_T1-R4	6.31E+01	8.27E+01	6.74E+01	7.95E+01
037_SU_T1-R5	5.79E+01	7.67E+01	6.49E+01	7.65E+01
038_BS_GL	3.98E+01	3.90E+01	3.19E+01	4.91E+01
038_SU_T1-R1	3.64E+01	3.50E+01	2.41E+01	4.98E+01
038_SU_T1-R2	3.13E+01	2.92E+01	2.48E+01	4.85E+01
056_BS_GLfiltered	6.32E+01	6.59E+01	5.49E+01	7.55E+01
056_SU_T1-R3filtered	5.49E+01	5.70E+01	5.84E+01	7.48E+01
057_BS_GLfiltered	4.48E+01	4.06E+01	3.98E+01	5.36E+01
057_SU_T1-R1filtered	8.38E+01	6.33E+01	5.10E+01	7.58E+01
057_SU_T1-R2filtered	9.01E+01	6.78E+01	5.30E+01	7.84E+01
058_BS_GLfiltered	2.80E+01	2.22E+01	2.32E+01	3.95E+01
058_SU_T1-R1filtered	7.31E+01	7.54E+01	4.30E+01	6.97E+01
058_SU_T1-R2filtered	1.07E+02	1.13E+02	5.88E+01	9.64E+01
059_SU_T1-R1filtered	1.66E+01	1.54E+01	1.25E+01	1.86E+01
059_SU_T1-R2filtered	1.75E+01	1.60E+01	1.23E+01	1.77E+01
065_BS_GLfiltered	1.81E+01	1.57E+01	1.33E+01	1.75E+01
065_SU_T1-R1filtered	2.27E+02	1.60E+02	1.07E+02	1.54E+02
065_SU_T1-R2filtered	1.99E+02	1.40E+02	9.25E+01	1.38E+02
065_SU_T1-R3filtered	8.12E+01	5.71E+01	4.75E+01	6.94E+01
065_SU_T1-R4filtered	9.32E+01	6.99E+01	6.10E+01	8.78E+01
065_SU_T1-R5filtered	1.45E+02	9.97E+01	8.00E+01	1.16E+02
065_SU_T1-R6filtered	2.04E+02	1.38E+02	1.04E+02	1.38E+02
065_SU_T1-R7filtered	2.60E+01	1.97E+01	1.99E+01	2.84E+01
066_SU_T1-R1filtered	6.52E+01	7.11E+01	6.06E+01	8.44E+01
066_SU_T1-R2filtered	6.06E+01	5.59E+01	5.19E+01	6.85E+01
080_BS_GLfiltered	5.26E+01	5.54E+01	3.72E+01	5.98E+01
081_BS_GLfiltered	2.16E+01	1.96E+01	1.36E+01	2.43E+01
081_SU_T1-R1filtered	2.12E+01	1.89E+01	1.51E+01	2.57E+01
081_SU_T1-R5filtered	3.46E+01	2.04E+01	1.93E+01	2.69E+01
081_SU_T1-R6filtered	2.27E+01	2.17E+01	1.47E+01	2.16E+01
082_BS_GL	3.36E+01	3.13E+01	2.84E+01	4.92E+01
082_SU_T1-R1filtered	8.75E+01	8.84E+01	4.58E+01	6.36E+01
082_SU_T1-R2filtered	7.12E+01	6.91E+01	3.87E+01	4.33E+01
082_SU_T1-R3filtered	3.62E+01	2.48E+01	2.55E+01	2.59E+01
082_SU_T1-R4filtered	9.95E+01	8.46E+01	4.93E+01	5.38E+01
082_SU_T1-R5filtered	2.81E+01	1.96E+01	1.85E+01	2.49E+01
099_BS_GLfiltered	4.46E+01	4.45E+01	4.26E+01	5.82E+01
099_SU_T1-R4filtered	1.96E+01	1.80E+01	1.68E+01	2.76E+01
099_SU_T1-R5filtered	2.98E+01	3.43E+01	3.11E+01	3.82E+01
099_SU_T1-R6filtered	3.66E+01	2.45E+01	3.09E+01	4.63E+01
099_SU_T1-R7filtered	2.80E+01	2.11E+01	2.11E+01	3.21E+01
100_BS_GLfiltered	5.57E+01	5.73E+01	5.46E+01	7.39E+01
100_SU_T1-R1filtered	1.49E+02	1.65E+02	9.22E+01	1.04E+02
100_SU_T1-R2filtered	1.57E+02	1.65E+02	8.84E+01	1.08E+02
100_SU_T1-R3filtered	7.87E+01	8.70E+01	5.71E+01	5.64E+01
