Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
016_BS_GLfiltered	1671	0	1116	9	1459
017_BS_GLfiltered	1314	135	1416	360	732
017_SU_T1-R1filtered	5999	6582	3596	2082	1050
017_SU_T1-R2filtered	845	610	2041	1969	210
017_SU_T1-R3filtered	4409	1245	3104	2836	0
017_SU_T1-R4filtered	2870	1868	3188	2810	458
018_BS_GLfiltered	0	500	213	49	739
018_SU_T1-R1filtered	1418	900	260	1289	1810
018_SU_T1-R2filtered	3147	2457	687	847	1558
018_SU_T1-R3filtered	703	484	783	1239	1600
018_SU_T1-R4filtered	1358	474	106	1286	1530
019_BS_GL	562	627	2031	0	241
019_SU_T1-R1	2320	1184	2768	70	263
019_SU_T1-R2	5062	5194	2290	311	12
035_BS_GLfiltered	2493	369	757	321	2094
035_SU_T1-R2filtered	4239	710	1874	688	2268
035_SU_T1-R3filtered	0	680	548	272	786
037_BS_GL	1036	339	1393	389	176
037_SU_T1-R1filtered	5340	1682	2395	1594	0
037_SU_T1-R2filtered	4538	191	2201	1427	598
037_SU_T1-R3	3611	378	1370	1355	385
037_SU_T1-R4	3663	1016	2083	1109	381
037_SU_T1-R5	3693	799	2101	997	356
038_BS_GL	1642	287	1669	391	542
038_SU_T1-R1	496	518	2233	167	405
038_SU_T1-R2	24	313	2499	283	289
056_BS_GLfiltered	3514	410	1765	576	479
056_SU_T1-R3filtered	2810	626	2701	1150	650
057_BS_GLfiltered	621	110	0	0	2016
057_SU_T1-R1filtered	442	542	0	3181	811
057_SU_T1-R2filtered	925	727	476	3217	1471
058_BS_GLfiltered	0	216	2035	285	195
058_SU_T1-R1filtered	2665	1698	2261	232	443
058_SU_T1-R2filtered	4470	2688	2056	361	496
059_SU_T1-R1filtered	490	426	654	180	101
059_SU_T1-R2filtered	310	494	580	237	37
065_BS_GLfiltered	264	406	271	209	689
065_SU_T1-R1filtered	3918	7877	1183	527	1405
065_SU_T1-R2filtered	3773	7073	1141	516	1603
065_SU_T1-R3filtered	1154	3318	1838	1024	723
065_SU_T1-R4filtered	1411	3816	2767	1123	1119
065_SU_T1-R5filtered	1822	5271	2301	1020	670
065_SU_T1-R6filtered	2927	7268	1068	831	855
065_SU_T1-R7filtered	45	784	717	731	360
066_SU_T1-R1filtered	1849	1226	3912	901	67
066_SU_T1-R2filtered	1257	983	3355	987	0
080_BS_GLfiltered	3120	586	1215	368	1009
081_BS_GLfiltered	449	590	700	140	549
081_SU_T1-R1filtered	514	448	1097	331	616
081_SU_T1-R5filtered	695	1200	202	824	434
081_SU_T1-R6filtered	922	570	1042	354	680
082_BS_GL	0	977	2265	504	314
082_SU_T1-R1filtered	4076	2794	1249	1150	1356
082_SU_T1-R2filtered	2740	2761	477	1102	584
082_SU_T1-R3filtered	659	998	416	1142	391
082_SU_T1-R4filtered	3350	3472	116	1110	438
082_SU_T1-R5filtered	290	611	445	859	500
099_BS_GLfiltered	1920	44	2237	264	241
099_SU_T1-R4filtered	0	561	1082	289	335
099_SU_T1-R5filtered	1453	203	1290	422	122
099_SU_T1-R6filtered	0	239	2228	604	0
099_SU_T1-R7filtered	32	261	1673	443	514
100_BS_GLfiltered	2665	129	2122	624	495
100_SU_T1-R1filtered	7141	4144	1301	1495	810
100_SU_T1-R2filtered	7917	3834	813	1165	1043
100_SU_T1-R3filtered	4089	2341	735	1274	602
