Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
016_BS_GLfiltered	5.45E+01	2.29E+01	5.18E+01	2.17E+01	4.16E+01
017_BS_GLfiltered	4.02E+01	2.31E+01	4.05E+01	2.10E+01	3.00E+01
017_SU_T1-R1filtered	1.22E+02	1.18E+02	1.61E+02	8.88E+01	9.10E+01
017_SU_T1-R2filtered	6.54E+01	5.50E+01	7.06E+01	5.14E+01	3.34E+01
017_SU_T1-R3filtered	1.08E+02	7.60E+01	1.28E+02	9.02E+01	4.15E+01
017_SU_T1-R4filtered	7.87E+01	6.06E+01	9.20E+01	6.77E+01	3.37E+01
018_BS_GLfiltered	1.21E+01	1.89E+01	1.95E+01	1.21E+01	1.58E+01
018_SU_T1-R1filtered	4.07E+01	4.71E+01	4.66E+01	2.74E+01	3.87E+01
018_SU_T1-R2filtered	5.88E+01	6.48E+01	7.21E+01	3.46E+01	6.15E+01
018_SU_T1-R3filtered	3.84E+01	3.49E+01	4.13E+01	2.54E+01	3.14E+01
018_SU_T1-R4filtered	3.92E+01	3.53E+01	3.75E+01	2.38E+01	3.57E+01
019_BS_GL	4.35E+01	3.54E+01	4.20E+01	1.63E+01	3.18E+01
019_SU_T1-R1	6.29E+01	4.73E+01	6.80E+01	3.38E+01	3.97E+01
019_SU_T1-R2	1.37E+02	1.25E+02	1.59E+02	6.52E+01	8.61E+01
035_BS_GLfiltered	6.14E+01	3.67E+01	6.39E+01	2.61E+01	5.33E+01
035_SU_T1-R2filtered	8.17E+01	4.86E+01	8.41E+01	3.95E+01	6.76E+01
035_SU_T1-R3filtered	1.64E+01	2.24E+01	3.11E+01	1.49E+01	2.02E+01
037_BS_GL	3.66E+01	2.30E+01	3.89E+01	2.23E+01	2.18E+01
037_SU_T1-R1filtered	9.19E+01	7.62E+01	1.29E+02	7.92E+01	5.15E+01
037_SU_T1-R2filtered	7.55E+01	4.62E+01	1.04E+02	6.23E+01	4.71E+01
037_SU_T1-R3	5.99E+01	4.09E+01	8.55E+01	5.38E+01	3.38E+01
037_SU_T1-R4	6.95E+01	4.57E+01	8.63E+01	5.37E+01	4.22E+01
037_SU_T1-R5	6.90E+01	4.34E+01	8.81E+01	5.25E+01	3.73E+01
038_BS_GL	4.09E+01	2.48E+01	4.70E+01	2.53E+01	3.03E+01
038_SU_T1-R1	3.86E+01	3.11E+01	4.36E+01	2.11E+01	2.98E+01
038_SU_T1-R2	4.12E+01	3.52E+01	4.56E+01	2.41E+01	2.42E+01
056_BS_GLfiltered	6.49E+01	3.66E+01	7.89E+01	4.31E+01	4.44E+01
056_SU_T1-R3filtered	6.94E+01	3.70E+01	7.57E+01	4.57E+01	3.71E+01
057_BS_GLfiltered	4.58E+01	3.50E+01	4.49E+01	2.42E+01	4.05E+01
057_SU_T1-R1filtered	6.10E+01	5.13E+01	4.57E+01	3.75E+01	6.32E+01
057_SU_T1-R2filtered	6.63E+01	5.24E+01	5.92E+01	3.74E+01	6.41E+01
058_BS_GLfiltered	3.66E+01	2.78E+01	4.12E+01	2.03E+01	2.07E+01
058_SU_T1-R1filtered	6.02E+01	4.98E+01	6.80E+01	3.14E+01	4.59E+01
058_SU_T1-R2filtered	7.63E+01	7.50E+01	9.34E+01	4.82E+01	6.43E+01
059_SU_T1-R1filtered	1.75E+01	1.33E+01	2.05E+01	9.55E+00	1.23E+01
059_SU_T1-R2filtered	1.50E+01	1.50E+01	2.09E+01	9.95E+00	1.12E+01
065_BS_GLfiltered	1.60E+01	1.36E+01	2.05E+01	9.15E+00	1.27E+01
065_SU_T1-R1filtered	1.77E+02	1.47E+02	2.03E+02	7.31E+01	1.19E+02
065_SU_T1-R2filtered	1.61E+02	1.30E+02	1.81E+02	6.82E+01	1.10E+02
065_SU_T1-R3filtered	5.74E+01	5.21E+01	8.14E+01	3.95E+01	4.41E+01
065_SU_T1-R4filtered	6.58E+01	6.29E+01	9.45E+01	4.66E+01	5.47E+01
065_SU_T1-R5filtered	1.07E+02	8.49E+01	1.41E+02	5.48E+01	7.26E+01
065_SU_T1-R6filtered	1.59E+02	1.28E+02	1.85E+02	7.26E+01	1.02E+02
065_SU_T1-R7filtered	1.82E+01	2.36E+01	3.51E+01	1.84E+01	1.66E+01
066_SU_T1-R1filtered	6.93E+01	5.32E+01	8.28E+01	4.78E+01	3.46E+01
066_SU_T1-R2filtered	6.27E+01	4.74E+01	7.51E+01	4.18E+01	2.62E+01
080_BS_GLfiltered	5.62E+01	3.78E+01	6.58E+01	3.30E+01	4.69E+01
081_BS_GLfiltered	2.03E+01	1.50E+01	2.19E+01	1.02E+01	1.80E+01
081_SU_T1-R1filtered	2.86E+01	2.17E+01	3.15E+01	1.46E+01	1.68E+01
081_SU_T1-R5filtered	2.84E+01	2.16E+01	3.24E+01	2.03E+01	1.61E+01
081_SU_T1-R6filtered	2.24E+01	1.93E+01	2.55E+01	1.37E+01	2.10E+01
082_BS_GL	3.39E+01	4.06E+01	5.17E+01	2.46E+01	2.95E+01
082_SU_T1-R1filtered	6.37E+01	6.42E+01	7.68E+01	4.80E+01	5.41E+01
082_SU_T1-R2filtered	6.06E+01	5.33E+01	6.52E+01	4.12E+01	3.58E+01
082_SU_T1-R3filtered	3.38E+01	2.47E+01	3.65E+01	2.49E+01	1.99E+01
082_SU_T1-R4filtered	8.26E+01	6.90E+01	8.76E+01	4.70E+01	4.74E+01
082_SU_T1-R5filtered	2.29E+01	2.21E+01	2.67E+01	1.78E+01	1.71E+01
099_BS_GLfiltered	5.75E+01	2.96E+01	5.53E+01	3.14E+01	3.26E+01
099_SU_T1-R4filtered	1.80E+01	2.19E+01	2.68E+01	1.41E+01	1.84E+01
099_SU_T1-R5filtered	3.18E+01	2.13E+01	3.99E+01	2.35E+01	2.02E+01
099_SU_T1-R6filtered	3.98E+01	3.85E+01	5.24E+01	2.67E+01	2.44E+01
099_SU_T1-R7filtered	3.16E+01	2.74E+01	3.59E+01	1.86E+01	2.09E+01
100_BS_GLfiltered	6.59E+01	3.31E+01	7.45E+01	4.07E+01	4.46E+01
100_SU_T1-R1filtered	1.19E+02	1.26E+02	1.50E+02	9.08E+01	8.97E+01
100_SU_T1-R2filtered	1.25E+02	1.35E+02	1.58E+02	9.37E+01	9.46E+01
100_SU_T1-R3filtered	6.56E+01	6.87E+01	9.01E+01	5.33E+01	4.58E+01
