NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	750.57	13.858	104.535	13.731	0.021	0.977	0.0
2	736.35	13.801	101.42	13.528	0.02	0.977	0.0
3	731.035	13.496	101.865	13.4	0.019	0.978	0.0
4	735.173	13.601	102.333	13.486	0.02	0.978	0.0
5	740.949	13.565	103.206	13.34	0.02	0.979	0.0
6	749.562	13.959	103.807	13.713	0.021	0.976	0.0
7	738.742	13.64	103.132	13.535	0.02	0.977	0.0
8	734.679	13.662	102.263	13.552	0.02	0.977	0.0
9	747.963	13.811	102.016	13.484	0.02	0.977	0.0
10	739.71	13.584	102.316	13.388	0.019	0.978	0.0
11	753.353	14.076	105.999	14.087	0.021	0.975	0.0
12	735.574	13.71	102.789	13.703	0.02	0.976	0.0
13	738.636	13.759	101.263	13.426	0.02	0.978	0.0
14	743.295	13.722	103.045	13.503	0.02	0.978	0.0
15	745.893	13.821	103.194	13.545	0.02	0.977	0.0
16	743.772	13.743	104.001	13.714	0.02	0.977	0.0
17	744.639	13.751	102.752	13.515	0.02	0.977	0.0
18	748.3	13.803	104.377	13.64	0.02	0.977	0.0
19	734.899	13.584	101.347	13.348	0.02	0.978	0.0
20	729.232	13.497	101.531	13.389	0.019	0.978	0.0
21	742.865	13.87	103.43	13.704	0.02	0.977	0.0
22	735.989	13.645	101.022	13.303	0.02	0.978	0.0
23	746.236	13.85	103.948	13.749	0.02	0.976	0.0
24	734.271	13.723	102.155	13.555	0.02	0.977	0.0
25	745.216	13.738	103.794	13.527	0.02	0.978	0.0
26	757.012	13.89	105.363	13.743	0.02	0.977	0.0
27	747.105	13.812	104.822	13.836	0.02	0.976	0.0
28	749.833	14.045	105.452	13.918	0.021	0.976	0.0
29	734.006	13.644	102.125	13.442	0.02	0.978	0.0
30	741.737	13.788	104.017	13.719	0.02	0.977	0.0
31	730.541	13.457	101.082	13.241	0.02	0.978	0.0
32	735.082	13.695	102.092	13.516	0.02	0.977	0.0
33	749.683	13.861	104.51	13.78	0.02	0.976	0.0
34	735.598	13.619	103.183	13.584	0.02	0.977	0.0
35	735.866	13.712	100.996	13.421	0.02	0.977	0.0
36	740.532	13.742	103.317	13.651	0.02	0.977	0.0
37	735.215	13.664	101.813	13.416	0.02	0.978	0.0
38	751.153	13.722	104.649	13.596	0.02	0.978	0.0
39	744.981	13.829	103.529	13.694	0.02	0.977	0.0
40	734.837	13.757	101.385	13.415	0.02	0.978	0.0
41	745.074	13.794	104.352	13.672	0.02	0.977	0.0
42	754.287	13.882	104.529	13.668	0.02	0.977	0.0
43	742.728	13.859	104.092	13.743	0.02	0.977	0.0
44	741.39	13.756	103.096	13.652	0.02	0.977	0.0
45	744.727	13.763	103.141	13.514	0.02	0.978	0.0
46	735.265	13.576	102.515	13.486	0.02	0.978	0.0
47	737.767	13.598	102.431	13.505	0.019	0.978	0.0
48	736.945	13.692	102.794	13.65	0.02	0.977	0.0
49	744.746	13.796	103.627	13.696	0.02	0.977	0.0
50	745.102	13.831	104.454	13.701	0.02	0.977	0.0
51	750.283	13.939	104.114	13.815	0.02	0.976	0.0
52	749.206	13.826	104.401	13.737	0.02	0.977	0.0
53	731.375	13.541	101.527	13.386	0.019	0.978	0.0
54	738.806	13.712	102.557	13.626	0.02	0.977	0.0
55	745.648	13.88	103.273	13.638	0.02	0.977	0.0
56	727.367	13.67	101.376	13.561	0.02	0.977	0.0
57	735.694	13.633	101.999	13.454	0.02	0.978	0.0
58	746.181	13.88	103.682	13.659	0.02	0.977	0.0
59	743.502	13.745	103.397	13.63	0.02	0.977	0.0
60	733.721	13.582	102.252	13.487	0.019	0.977	0.0
61	756.0	13.923	104.789	13.698	0.02	0.977	0.0
62	719.555	13.558	99.66	13.307	0.02	0.978	0.0
63	744.2	13.631	103.498	13.451	0.02	0.978	0.0
64	742.949	13.819	102.566	13.552	0.02	0.977	0.0
65	746.651	13.885	104.688	13.859	0.021	0.976	0.0
