Samples	SBS1	SBS3	SBS5	SBS23	SBS43	SBS54
016_BS_GLfiltered	573	0	3682	0	0	0
017_BS_GLfiltered	546	0	3411	0	0	0
017_SU_T1-R1filtered	2728	0	14783	0	0	1798
017_SU_T1-R2filtered	707	0	4968	0	0	0
017_SU_T1-R3filtered	1803	0	9791	0	0	0
017_SU_T1-R4filtered	1508	0	9686	0	0	0
018_BS_GLfiltered	152	0	1202	0	147	0
018_SU_T1-R1filtered	651	0	5026	0	0	0
018_SU_T1-R2filtered	1251	0	6616	0	0	829
018_SU_T1-R3filtered	572	0	4237	0	0	0
018_SU_T1-R4filtered	621	0	4133	0	0	0
019_BS_GL	470	0	2590	0	0	401
019_SU_T1-R1	1012	0	4670	0	0	923
019_SU_T1-R2	1997	0	9483	0	0	1389
035_BS_GLfiltered	825	0	4446	0	0	763
035_SU_T1-R2filtered	1445	0	7011	0	0	1323
035_SU_T1-R3filtered	290	0	1793	0	203	0
037_BS_GL	508	0	2007	351	0	467
037_SU_T1-R1filtered	1729	0	7872	0	0	1410
037_SU_T1-R2filtered	1408	0	6414	0	0	1133
037_SU_T1-R3	1124	0	5106	0	0	869
037_SU_T1-R4	1312	0	6021	0	0	919
037_SU_T1-R5	1241	0	5709	0	0	996
038_BS_GL	658	0	3330	0	0	543
038_SU_T1-R1	496	0	3323	0	0	0
038_SU_T1-R2	411	0	2997	0	0	0
056_BS_GLfiltered	1122	0	4758	0	0	864
056_SU_T1-R3filtered	1178	0	5909	0	0	850
057_BS_GLfiltered	294	0	2082	0	371	0
057_SU_T1-R1filtered	493	2002	2481	0	0	0
057_SU_T1-R2filtered	737	0	6079	0	0	0
058_BS_GLfiltered	348	0	2383	0	0	0
058_SU_T1-R1filtered	1087	0	5399	0	0	813
058_SU_T1-R2filtered	1580	0	7327	0	0	1164
059_SU_T1-R1filtered	273	0	1578	0	0	0
059_SU_T1-R2filtered	228	0	1430	0	0	0
065_BS_GLfiltered	203	0	1461	0	175	0
065_SU_T1-R1filtered	1952	0	11780	0	0	1178
065_SU_T1-R2filtered	1840	0	11135	0	0	1131
065_SU_T1-R3filtered	966	0	7091	0	0	0
065_SU_T1-R4filtered	1229	0	9007	0	0	0
065_SU_T1-R5filtered	1377	0	9707	0	0	0
065_SU_T1-R6filtered	1634	0	10315	0	0	1000
065_SU_T1-R7filtered	281	0	2356	0	0	0
066_SU_T1-R1filtered	1147	0	6808	0	0	0
066_SU_T1-R2filtered	919	0	5663	0	0	0
080_BS_GLfiltered	901	0	4605	0	0	792
081_BS_GLfiltered	288	0	2140	0	0	0
081_SU_T1-R1filtered	356	0	2650	0	0	0
081_SU_T1-R5filtered	376	0	2979	0	0	0
081_SU_T1-R6filtered	447	0	3121	0	0	0
082_BS_GL	526	0	3534	0	0	0
082_SU_T1-R1filtered	1580	0	8028	0	0	1017
082_SU_T1-R2filtered	1093	0	6571	0	0	0
082_SU_T1-R3filtered	475	0	3131	0	0	0
082_SU_T1-R4filtered	1336	0	6387	0	0	763
082_SU_T1-R5filtered	317	0	2388	0	0	0
099_BS_GLfiltered	759	0	2709	528	0	710
099_SU_T1-R4filtered	245	0	2022	0	0	0
099_SU_T1-R5filtered	516	0	2549	0	0	425
099_SU_T1-R6filtered	397	0	2674	0	0	0
099_SU_T1-R7filtered	319	0	2604	0	0	0
100_BS_GLfiltered	990	0	3490	709	0	846
100_SU_T1-R1filtered	2256	0	10947	0	0	1688
100_SU_T1-R2filtered	2345	0	10798	0	0	1629
100_SU_T1-R3filtered	1329	0	7712	0	0	0
