Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
016_BS_GLfiltered	4255	0.889	1772.98	41.668%	287.291	46.419%	0.14909	0.776
017_BS_GLfiltered	3957	0.912	1508.487	38.122%	238.075	41.744%	0.12049	0.82
017_SU_T1-R1filtered	19309	0.97	4552.878	23.579%	691.611	25.452%	0.05192	0.94
017_SU_T1-R2filtered	5675	0.931	1966.17	34.646%	289.574	38.229%	0.10486	0.845
017_SU_T1-R3filtered	11594	0.928	3827.351	33.011%	634.119	38.579%	0.10308	0.854
017_SU_T1-R4filtered	11194	0.938	3556.791	31.774%	549.752	35.719%	0.08777	0.867
018_BS_GLfiltered	1501	0.96	429.117	28.589%	56.663	28.253%	0.07994	0.901
018_SU_T1-R1filtered	5677	0.932	1906.14	33.577%	283.496	37.675%	0.10274	0.844
018_SU_T1-R2filtered	8696	0.963	2222.771	25.561%	345.036	28.146%	0.06574	0.927
018_SU_T1-R3filtered	4809	0.925	1688.503	35.111%	254.124	39.855%	0.11819	0.828
018_SU_T1-R4filtered	4754	0.923	1670.585	35.141%	258.294	40.641%	0.12142	0.829
019_BS_GL	3461	0.948	1027.933	29.7%	164.399	32.241%	0.08004	0.9
019_SU_T1-R1	6605	0.954	1928.752	29.201%	302.144	30.807%	0.07083	0.915
019_SU_T1-R2	12869	0.973	2977.579	23.138%	446.902	23.558%	0.04812	0.949
035_BS_GLfiltered	6034	0.929	2099.948	34.802%	331.596	38.595%	0.11484	0.861
035_SU_T1-R2filtered	9779	0.94	3101.151	31.712%	505.504	36.104%	0.09814	0.885
035_SU_T1-R3filtered	2286	0.961	632.099	27.651%	86.067	27.837%	0.07282	0.911
037_BS_GL	3333	0.957	1012.092	30.366%	150.494	31.574%	0.09221	0.925
037_SU_T1-R1filtered	11011	0.95	3392.442	30.81%	523.435	32.515%	0.07916	0.907
037_SU_T1-R2filtered	8955	0.931	3044.204	33.994%	498.35	38.091%	0.10171	0.871
037_SU_T1-R3	7099	0.934	2426.959	34.187%	387.017	37.504%	0.10253	0.876
037_SU_T1-R4	8252	0.945	2600.595	31.515%	409.332	34.215%	0.08878	0.896
037_SU_T1-R5	7946	0.942	2560.055	32.218%	404.582	34.732%	0.08967	0.892
038_BS_GL	4531	0.938	1539.768	33.983%	234.572	35.792%	0.09382	0.881
