Samples	SBS96A	SBS96B	SBS96C
016_BS_GLfiltered	2497	397	1361
017_BS_GLfiltered	2186	623	1148
017_SU_T1-R1filtered	7324	8815	3170
017_SU_T1-R2filtered	1930	1237	2508
017_SU_T1-R3filtered	6180	2461	2953
017_SU_T1-R4filtered	4506	3101	3587
018_BS_GLfiltered	54	716	731
018_SU_T1-R1filtered	1543	1505	2629
018_SU_T1-R2filtered	3341	3412	1943
018_SU_T1-R3filtered	1160	1042	2607
018_SU_T1-R4filtered	1429	942	2383
019_BS_GL	1747	1216	498
019_SU_T1-R1	3861	2054	690
019_SU_T1-R2	5822	6721	326
035_BS_GLfiltered	3042	1051	1941
035_SU_T1-R2filtered	5448	1817	2514
035_SU_T1-R3filtered	235	983	1068
037_BS_GL	1839	751	743
037_SU_T1-R1filtered	6675	2819	1517
037_SU_T1-R2filtered	5966	1103	1886
037_SU_T1-R3	4488	1067	1544
037_SU_T1-R4	4861	1905	1486
037_SU_T1-R5	4928	1658	1360
038_BS_GL	2644	839	1048
038_SU_T1-R1	1760	1086	973
038_SU_T1-R2	1457	855	1096
056_BS_GLfiltered	4616	1140	988
056_SU_T1-R3filtered	4395	1558	1984
057_BS_GLfiltered	720	467	1560
057_SU_T1-R1filtered	301	945	3730
057_SU_T1-R2filtered	1100	1356	4360
058_BS_GLfiltered	1162	655	914
058_SU_T1-R1filtered	3847	2607	845
058_SU_T1-R2filtered	5441	3838	792
059_SU_T1-R1filtered	827	659	365
059_SU_T1-R2filtered	583	707	368
065_BS_GLfiltered	396	624	819
065_SU_T1-R1filtered	3637	9653	1620
065_SU_T1-R2filtered	3590	8748	1768
065_SU_T1-R3filtered	1781	4322	1954
065_SU_T1-R4filtered	2525	5118	2593
065_SU_T1-R5filtered	2442	6665	1977
065_SU_T1-R6filtered	2593	8814	1542
065_SU_T1-R7filtered	338	1095	1204
066_SU_T1-R1filtered	4018	2293	1644
066_SU_T1-R2filtered	3183	1914	1485
080_BS_GLfiltered	3873	1270	1155
081_BS_GLfiltered	810	906	712
081_SU_T1-R1filtered	1124	843	1039
081_SU_T1-R5filtered	655	1553	1147
081_SU_T1-R6filtered	1503	1014	1051
082_BS_GL	1121	1595	1344
082_SU_T1-R1filtered	4564	3938	2123
082_SU_T1-R2filtered	2709	3568	1387
082_SU_T1-R3filtered	760	1372	1474
082_SU_T1-R4filtered	3005	4336	1145
082_SU_T1-R5filtered	464	901	1340
099_BS_GLfiltered	3292	636	778
099_SU_T1-R4filtered	498	897	872
099_SU_T1-R5filtered	2228	608	654
099_SU_T1-R6filtered	1213	708	1150
099_SU_T1-R7filtered	978	684	1261
100_BS_GLfiltered	3978	822	1235
100_SU_T1-R1filtered	7548	5671	1672
100_SU_T1-R2filtered	8119	5300	1353
100_SU_T1-R3filtered	4318	3248	1475
